	Cod	Gini_RD	Gini_RP	RendaMedia	RendaMedia2010
5238	3546900	0.40011388286870075	0.3911933894523786	604.546712721047	604.546712721047
5239	3532009	0.4475065283512948	0.45135716966986317	694.493331129131	694.493331129131
5240	3549805	0.5136687022250069	0.5106540295057103	1130.1982270725	1130.1982270725
5241	3557303	0.41367645660243757	0.4198232307962533	664.978794700701	664.978794700701
5242	3522307	0.5202705767680827	0.5139483419526119	713.840200580629	713.840200580629
5243	3507605	0.5276170459552904	0.5289178850402056	931.103427026159	931.103427026159
5244	3541059	0.40363920427162914	0.3973654373417912	548.517793053839	548.517793053839
5245	3550902	0.4507368233080411	0.46129424158552823	753.73557608197	753.73557608197
5246	3513702	0.45447518177489554	0.46087725838205096	782.457292396435	782.457292396435
5247	3510005	0.4223693475596755	0.42546469646087537	616.881995015809	616.881995015809
5248	3504305	0.4687712866296605	0.4921133900420396	506.618772508265	506.618772508265
5249	3524808	0.4739252773699575	0.46483558189953955	836.919822950086	836.919822950086
5250	3549607	0.5133646156098404	0.5489590822797612	481.40066214793	481.40066214793
5251	3504800	0.46849086413761476	0.4388735053412631	827.540921643318	827.540921643318
5252	3523305	0.49438196382854094	0.5261752761988114	413.218718901921	413.218718901921
5253	3523206	0.46982705564395943	0.490957931275778	497.951529262602	497.951529262602
5254	3521705	0.5037766725535596	0.5161987561102315	449.395537740635	449.395537740635
5255	3548005	0.46402761109864654	0.459977378489247	671.42716154466	671.42716154466
5256	3515152	0.4533005052865883	0.46045758324023256	699.405775984903	699.405775984903
5257	3511201	0.4308375178160374	0.43190559522358607	766.206583323045	766.206583323045
5258	3509106	0.4833861255156059	0.4784646301599853	478.687523215834	478.687523215834
5259	3507159	0.4217738796578874	0.44586823385735463	342.486594427515	342.486594427515
5260	3527256	0.4142507932416778	0.3878118680922583	599.215410111097	599.215410111097
5261	3505906	0.4973841319314929	0.5018805872196065	885.036699986904	885.036699986904
5262	3511102	0.4717606363834098	0.4671623800414322	924.213333048357	924.213333048357
5263	3538204	0.4195511021832403	0.4249080713577744	642.354679595495	642.354679595495
5264	3515905	0.3879824859907064	0.3754452194178848	662.498156975011	662.498156975011
5265	3510500	0.5077765417854729	0.5240862394358914	739.898372948206	739.898372948206
5266	3518909	0.42439140431986155	0.41766704679053424	531.113564208386	531.113564208386
5267	3554656	0.4050489086222373	0.4003557023371147	538.802886196466	538.802886196466
5268	3549300	0.3619857463499162	0.3354989748648788	678.515950739781	678.515950739781
5269	3538501	0.47681325613418035	0.49894161459542763	647.299181266667	647.299181266667
5270	3536901	0.3722870014957702	0.37760203808492654	599.98869407767	599.98869407767
5271	3545100	0.3970372048645654	0.39691180216235444	536.25252967997	536.25252967997
5272	3517307	0.40567770127359526	0.4060704594952751	529.165495669794	529.165495669794
5273	3552908	0.4094139705192712	0.38861966722578956	552.510508292131	552.510508292131
5274	3507308	0.4038150273992409	0.3882202541728128	707.547629160922	707.547629160922
5275	3507902	0.42323665899952445	0.4219753717911261	708.855170893764	708.855170893764
5276	3506904	0.4581551594027309	0.47290418444827864	601.127542255821	601.127542255821
5277	3532702	0.3815058650609269	0.3711142311843192	626.127629134827	626.127629134827
5278	3528908	0.40147357064379485	0.38477475398651484	555.604740840297	555.604740840297
5279	3529302	0.534542152627572	0.5314956168365392	915.260061599643	915.260061599643
5280	3516705	0.5104849330185058	0.511218802671472	761.035482288769	761.035482288769
5281	3536505	0.48202022461981886	0.4886572415994196	1143.7181548005	1143.7181548005
5282	3536570	0.442862819681879	0.4291830504440627	559.83831565358	559.83831565358
5283	3530102	0.6166983437265281	0.5285245417919162	654.00882806796	654.00882806796
5284	3547106	0.39351033446710537	0.4031194460509475	557.637427364458	557.637427364458
5285	3503158	0.3823223905244324	0.398083735078557	410.646094788617	410.646094788617
5286	3502606	0.47375436718451347	0.4740742901793107	605.023097088764	605.023097088764
5287	3532207	0.3756133056223232	0.3731940613740641	477.573327101756	477.573327101756
5288	3554706	0.4584909580024781	0.44411039071933933	748.007888419551	748.007888419551
5289	3510708	0.43951843006774804	0.43688101897968257	588.06043647988	588.06043647988
5290	3552700	0.4366767226964895	0.4206275887772146	606.843610167752	606.843610167752
5291	3533809	0.4157702122844853	0.42453095291794873	670.866050129177	670.866050129177
5292	3549508	0.4579688145254819	0.46646480802418366	544.248751394244	544.248751394244
5293	3533007	0.4606156282660637	0.4507695782992597	726.673516558162	726.673516558162
5294	3537503	0.42849922124982154	0.44293787581280797	687.890125449422	687.890125449422
5295	3501004	0.45696744085921304	0.44957665958265136	723.715486820685	723.715486820685
5296	3523008	0.5043659329193562	0.48038483815912547	526.47453448001	526.47453448001
5297	3519808	0.4464795524140561	0.44801408191992176	683.409399358481	683.409399358481
5298	3516200	0.46717810708431085	0.46772623746001574	834.150332237129	834.150332237129
5299	3512001	0.4637674524484854	0.46316429784603774	697.146339506364	697.146339506364
5300	3530805	0.49984752018383805	0.5049894890622817	911.610560488264	911.610560488264
5301	3526803	0.4362471766472217	0.4438628690186537	803.918261035877	803.918261035877
5302	3519006	0.45805259257311726	0.45266782031545694	538.171260568898	538.171260568898
5303	3540507	0.48615546236351226	0.5073197605889515	588.707396224025	588.707396224025
5304	3514502	0.4350567327074383	0.433799408581509	681.84643327022	681.84643327022
5305	3520509	0.47986872216035614	0.48677516752397343	1064.50160054136	1064.50160054136
5306	3522406	0.5279857735272855	0.5403117300608412	615.273295505913	615.273295505913
