	COD	UF	Renda(Total)	Renda(Beneficios)	Total(%)	Beneficio(>Sal)	Beneficio(>Sal)(%)	Beneficio(<=Sal)	Beneficio(<=Sal)(%)
37	al	2705507	1904838.86204309	372794.41008418	0.1957091581407199	139620.18768699	0.07329763712256286	233174.22239719	0.12241152101815701
38	al	2703809	1319402.97397747	230004.49331161	0.17432467399875476	34148.12218032	0.025881495535345907	195856.37113129	0.14844317846340888
39	al	2702207	487969.02698516	120935.21304202	0.24783378934765432	63361.37458102	0.12984712364325313	57573.838461	0.1179866657044012
40	al	2709004	431248.03350377	128723.43695609	0.2984904902875683	26237.76380059	0.060841468858224085	102485.6731555	0.23764902142934424
41	al	2708105	753802.21769961	192975.21236436	0.2560024471051113	33159.54226431	0.04398971173831711	159815.67010005	0.21201273536679416
42	al	2702108	1341814.90982908	312483.66980469	0.2328813516049647	113969.32312344	0.08493669453856148	198514.34668125	0.1479446570664032
43	al	2705101	1569423.05750912	324543.02812476	0.20679129605745203	74175.22633647	0.04726273516982464	250367.80178829	0.15952856088762737
44	al	2706109	682382.40462432	185804.70592818	0.2722882428811646	37270.95339011	0.05461886639739666	148533.75253807	0.21766937648376797
45	al	2708600	6293022.65033231	1018934.30295526	0.1619149269868676	584315.43158566	0.09285131550492744	434618.8713696	0.06906361148194015
46	al	2708907	1639384.557987	351745.32709929	0.214559375581284	253684.35502292	0.15474365290741726	98060.97207637	0.05981572267386674
47	al	2706422	508678.27976696	244117.72593086	0.47990593591434116	69449.02300632	0.13652838300494485	174668.70292454	0.3433775529093963
48	al	2705408	672995.48019052	117350.37968171	0.17437023447540687	25813.45551734	0.03835606074209058	91536.92416437	0.13601417373331628
49	al	2700805	440816.51120758	146678.25797392	0.3327422050778161	54080.90019352	0.12268347218975509	92597.3577804	0.210058732888061
50	al	2707008	192434.41058981	50481.38483766	0.26233034249402143	8829.12221251	0.04588120277162908	41652.26262515	0.21644913972239233
51	al	2702603	1453963.71082988	293554.68006341	0.20189959204405286	30299.98025966	0.020839571190099136	263254.69980375	0.18106002085395367
52	al	2702009	754363.17750317	156923.67248852	0.20802138435218173	12285.95011762	0.016286518859900703	144637.7223709	0.19173486549228103
53	al	2706901	2790361.02618781	649957.64586463	0.23292958859614013	345261.02486947	0.12373346016130587	304696.62099516	0.10919612843483426
54	al	2707107	1796580.93652573	244968.82691846	0.13635279209417997	90445.31686572	0.05034302381089786	154523.51005274	0.0860097682832821
55	al	2709202	1017841.44770341	407847.2615256	0.40069822509767067	163088.51920467	0.1602297878246677	244758.74232093	0.240468437273003
56	al	2701100	678461.78557621	120596.13681493	0.1777493432625819	22361.55566561	0.03295919702628289	98234.58114932	0.14479014623629902
57	al	2709400	2435428.71720995	534914.70354681	0.21963882570934504	231943.60218206	0.09523727816093783	302971.10136475	0.12440154754840722
58	al	2702306	4518520.73083595	683774.00703927	0.1513269602533766	297191.18819	0.06577178813452475	386582.81884927	0.08555517211885186
59	al	2708204	445164.8035899	130360.12414923	0.29283564895063424	49442.03961106	0.11106457476500675	80918.08453817	0.1817710741856275
60	al	2703304	933144.96065969	305734.00169464	0.3276382712054731	41523.10743988	0.04449802462687587	264210.89425476	0.2831402465785972
61	al	2705903	240787.98221176	81313.84011518	0.33769891407482655	29545.7264982	0.1227043236411032	51768.11361698	0.21499459043372332
62	al	2702553	817097.10136577	339987.30143122	0.4160916748608391	37189.14710708	0.04551374254653297	302798.15432414	0.3705779323143061
63	al	2700409	3103276.27510841	558301.17654345	0.17990701666545827	146110.90918224	0.04708279129196634	412190.26736121	0.13282422537349192
64	al	2706307	8033680.58722905	2040266.69546502	0.25396412930685636	1106219.72679652	0.13769774822203548	934046.9686685	0.11626638108482083
65	al	2700904	387773.85998814	89447.34212467	0.23066882880503017	8726.92059642	0.0225051802013857	80720.42152825	0.20816364860364445
66	al	2705606	691282.89618667	140965.37551826	0.2039185061511988	32275.80083572	0.046689714173116806	108689.57468254	0.15722879197808198
67	al	2701704	1401691.51020147	334743.52877411	0.2388139803500673	125197.73498531	0.08931903637435522	209545.7937888	0.14949494397571206
68	al	2701605	738829.04723588	253906.02240187	0.3436600433507421	17424.19998976	0.023583534046133833	236481.82241211	0.32007650930460824
69	al	2708808	2069053.41812106	385599.50783648	0.18636517765048763	38157.66653845	0.018442088640273763	347441.84129803	0.16792308901021386
70	al	2701209	685511.44131418	171424.54710041	0.2500681050221066	19484.35993098	0.02842309953810097	151940.18716943	0.22164500548400556
71	al	2707602	892952.41318599	303001.00456335	0.3393249182028236	151223.83632646	0.16935262629158954	151777.16823689	0.16997229191123409
72	al	2709301	5352040.30471398	1208960.07369587	0.2258876998050706	524605.90838512	0.09801979778124179	684354.16531075	0.12786790202382878
73	al	2703601	588236.2733669	141740.05070943	0.24095768507805473	74379.3064906	0.1264446105386763	67360.74421883	0.11451307453937842
74	al	2703908	294719.0777316	70424.71306663	0.2389553930769478	16485.15612753	0.05593515104082606	53939.5569391	0.18302024203612174
75	al	2702900	1630875.89671014	391928.37268756	0.2403177172942292	57838.68451398	0.03546479816806063	334089.68817358	0.2048529191261686
76	al	2704005	1935928.4107534	392353.25605217	0.2026693001005543	84621.69404447	0.04371116905688573	307731.5620077	0.15895813104366854
77	al	2706703	7186461.29538782	1534664.6711474	0.21354942412788452	769124.83860285	0.10702413983589733	765539.83254455	0.10652528429198717
78	al	2704302	225042036.319504	44188396.4108352	0.19635618808611655	38110256.1079419	0.16934727720751144	6078140.30289328	0.027008910878605033
79	al	2700508	749355.63895243	144562.1024919	0.19291521272061446	49969.03761399	0.06668267377535822	94593.06487791	0.12623253894525624
80	al	2702405	4734597.07584349	1178863.90262272	0.24898927696243298	575715.63543514	0.12159759874235415	603148.26718758	0.12739167822007882
