	Cod	Gini_RD	Gini_RP	RendaMedia	RendaMedia2010
2877	2600203	0.5319238532149838	0.5695450295683915	71.5489978743624	142.5187135972346
2878	2606804	0.5559844959102035	0.5655849234278687	120.204809245631	239.4364042941666
2879	2604700	0.6393741361225653	0.6723458862556093	85.7983037957229	170.9019587844245
2880	2601508	0.5532669143455196	0.5848157048725273	67.5483135876185	134.54973576393758
2881	2611309	0.5583096050062623	0.5658459736868828	107.450025845257	214.03010404626306
2882	2609105	0.5489092434973795	0.5716961175500845	92.0892418122764	183.43290149606807
2883	2614204	0.5458066196689688	0.5502788689712388	86.3748263725615	172.05033623836283
2884	2614303	0.5050488592299812	0.5690449957654325	58.8923304594815	117.30785094386391
2885	2615102	0.5634421155549907	0.6398266023768613	47.0261952234472	93.67165226250681
2886	2604155	0.5775063218026457	0.6032326053537894	82.4452792912232	164.22305686772086
2887	2601409	0.5681479260657349	0.5881401119771685	92.59871135711	184.44771576745944
2888	2615201	0.48043653056014357	0.48947952669186434	99.8371396196185	198.86596780573467
2889	2613107	0.5599470566416469	0.5831435459363337	93.6675079214624	186.57665559854027
2890	2612505	0.536460191800584	0.5207604701184254	205.874416182882	410.0820113300225
2891	2605301	0.5997761162947517	0.6277126556193934	69.6963965002603	138.82851006553557
2892	2600401	0.5537363197754944	0.5806087379572566	65.0339703562431	129.54140617829097
2893	2612307	0.5618688044998761	0.5980411045234775	75.3999185388683	150.18937671727036
2894	2605806	0.5052576195169278	0.552816280955376	81.1280852623839	161.59933320805797
2895	2607950	0.5051571649076874	0.539180551259127	64.7672931455931	129.01021085569153
2896	2603454	0.6023793273951987	0.596130578185891	171.383073568333	341.37857835813475
2897	2603009	0.568748087600342	0.5859899890191616	112.775570008566	224.63807516967165
2898	2607901	0.6346496300081279	0.6463552722594968	234.691438045663	467.4827438014769
2899	2613008	0.7432453037523339	0.7657225263155856	155.320690621993	309.3838583365032
2900	2607307	0.6449152452561514	0.6681917031304789	85.2708558823696	169.85133333425878
2901	2612703	0.6160155723613304	0.6447368357459592	68.8693525104167	137.18111808210332
2902	2614402	0.5868920921526706	0.6431991744837107	48.5164852129743	96.6401664067188
2903	2601201	0.6039161515919569	0.616246405826447	169.385548956897	337.3997016937743
2904	2614006	0.49526939782249646	0.5356002244069391	75.7401145643626	150.86701443917775
2905	2605707	0.6098678636691204	0.6301941939930338	114.149911422022	227.3756309161979
2906	2614857	0.5843912138114348	0.6283949646733122	83.3558514120329	166.03682884427857
2907	2609402	0.49454419521495874	0.5102759322237402	100.104749440397	199.3990207978997
2908	2611507	0.5573348537768894	0.6135106580286955	72.9353391242887	145.28017186242545
2909	2609808	0.563743716778889	0.5647172658677919	100.802008861988	200.7878944196267
2910	2608305	0.5743089572393266	0.613436149120691	93.4544086600962	186.15218239135768
2911	2616183	0.494750258159137	0.5859334895363358	56.0917190233833	111.72930266203758
2912	2615300	0.5851654800310231	0.6054723399680411	118.19605813694	235.43516552838588
2913	2606903	0.5550526682364633	0.60079606887897	83.4465787703603	166.21754900502214
2914	2615706	0.5639824654036631	0.5871881223247641	114.375302924711	227.82458908435265
2915	2616308	0.52481595118653	0.548521365309584	79.5235747486723	158.40330277910692
2916	2614501	0.590247168589505	0.5942795010580983	131.296047059323	261.52908193283963
2917	2604809	0.5159591020175425	0.5225479220017064	72.4797727533498	144.37272752255666
2918	2610400	0.5496472080866074	0.5695593076311687	86.3117243856287	171.92464315711402
2919	2601607	0.5813956506363747	0.6123983191165105	114.802912035205	228.67634525369937
2920	2609907	0.699882239946564	0.7231326288870705	104.48094087704	208.11597271245722
2921	2602704	0.4707070573023392	0.4695724358234358	74.1748412751723	147.7491407829284
2922	2607505	0.5695742680897828	0.615535400885058	72.7025888276595	144.8165556853936
2923	2608503	0.49278656087305894	0.5187346338333136	82.2645107856133	163.86298341255304
