Cod2000	uf	Cod2010	gini(g)	parcela(ch)	p_total	p_1sal	p_nsal
1100015	ro	['1100015']	0.536550354190299	0.2527338675082803	0.28381648668201864	0.5172930633206578	-0.1497184588423729
1100023	ro	['1100023']	0.529382047010937	0.1860749949545688	0.34330705205636824	0.811541844475632	-0.14724189010331135
1100031	ro	['1100031']	0.47304170320501093	0.2617499784053873	0.21129172479962366	0.4919431939471417	-0.22106959209081212
1100049	ro	['1100049']	0.5703468582886511	0.2901715722458871	0.280175286042764	0.7876156456822354	-0.1359985205595925
1100056	ro	['1100056']	0.5092641900806563	0.28451144827808306	0.2247527418025732	0.5781926657256795	-0.22798710890216833
1100064	ro	['1100064']	0.47401314240774295	0.1717722677448219	0.30224087466292104	0.5858953528653659	-0.20783263660477513
1100072	ro	['1100072']	0.4670964140213353	0.3104685090036192	0.15662790501771606	0.4324007346277209	-0.2943937112267897
1100080	ro	['1100080']	0.4719961844242824	0.39934434422196563	0.07265184020231674	0.3093434709353906	-0.2792858031419285
1100098	ro	['1100098']	0.5115385033667799	0.23755473368010216	0.2739837696866777	0.607698284891266	-0.19887075692354805
1100106	ro	['1100106']	0.5129093038486333	0.5069170464839872	0.0059922573646461474	0.6057032715048368	-0.2559895409353866
1100114	ro	['1100114']	0.4926633236479677	0.19786316335436227	0.29480016029360545	0.6785871154249975	-0.17410457702654603
1100122	ro	['1100122']	0.5303120813687143	0.26277007363022986	0.26754200773848447	0.8400645459068621	-0.1854960474622862
1100130	ro	['1100130']	0.4893034234476227	0.30608023243439664	0.18322319101322604	0.45858307004858223	-0.1923325952038839
1100148	ro	['1100148']	0.5717949859218395	0.3220347848730022	0.24976020104883734	0.43833821034096854	-0.10898226040455505
1100155	ro	['1100155']	0.4840841501874298	0.24637840444291892	0.23770574574451087	0.6415940261137671	-0.21010009293506104
1100189	ro	['1100189']	0.54645711599417	0.559763302069252	-0.013306186075081938	0.8098498694126401	-0.35227042030089806
1100205	ro	['1100205']	0.5549923525085453	0.4386474649503367	0.1163448875582086	0.9960739822276649	-0.14056554098627616
1100254	ro	['1100254']	0.5088517004197766	0.31409348308478346	0.1947582173349931	0.5311300060018076	-0.2100584721300841
1100262	ro	['1100262']	0.5078140903882556	0.15929164370998372	0.3485224466782719	0.5623574658823055	-0.18049749851131658
1100288	ro	['1100288']	0.5267337733440933	0.170876560560149	0.35585721278394433	0.7247439300971057	-0.15769682379490868
1100296	ro	['1100296']	0.4830160389498316	0.21242390521796917	0.2705921337318624	0.5309951955834745	-0.22044405804708955
1100304	ro	['1100304']	0.5172917397092991	0.18210477284508575	0.33518696686421334	0.8345318976327172	-0.10969859262749959
1100320	ro	['1100320']	0.565125554687214	0.505527438950095	0.05959811573711904	0.4467772874936693	-0.3120902859650867
1100338	ro	['1100338']	0.4798413171757001	0.45142343528527507	0.028417881890425045	0.40789794216078956	-0.40872069438476655
1100346	ro	['1100346']	0.5264295080730413	0.28799619634971774	0.2384333117233236	0.538685196152567	-0.23375383756706614
1100379	ro	['1100379']	0.4914117317556058	0.3488159242025014	0.14259580755310441	0.36051702000819286	-0.22558864240110166
1100403	ro	['1100403']	0.5323360714469377	0.5336870150829314	-0.00135094363599364	0.4089804504923851	-0.30736947653251334
1100452	ro	['1100452']	0.47673270388695443	0.284481118678115	0.19225158520883945	0.41519594301041896	-0.20061453968237541
1100502	ro	['1100502']	0.4409887292516623	0.3053340120853061	0.13565471716635624	0.39068414797351425	-0.33716159208339946
1100601	ro	['1100601']	0.5340018987304871	0.2675510519384473	0.2664508467920398	0.46692869317171515	-0.19583382911261715
1100700	ro	['1100700']	0.6253629742259194	0.21784292331317945	0.4075200509127399	0.6100176130162789	-0.05709638222932922
1100809	ro	['1100809']	0.4919249844120843	0.2774527104901622	0.21447227392192214	0.7209744274419183	-0.2871569907986471
1100908	ro	['1100908']	0.4619821749526386	0.2564709710509805	0.2055112039016581	0.43832521587724027	-0.19749884284414632
1100924	ro	['1100924']	0.43190786963736993	0.14099070060010366	0.2909171690372663	0.6319480918268743	-0.3038787598078705
1100940	ro	['1100940']	0.5105137411294126	0.06564880840893539	0.4448649327204772	0.6200320323795935	-0.028071154966263445
1101005	ro	['1101005']	0.5258437831178688	0.2982991285868999	0.22754465453096895	0.4079718885033068	-0.22638430121767472
1101104	ro	['1101104']	0.48109000236838206	0.3077668565041193	0.17332314586426278	0.4780148515103674	-0.22788382627329673
1101203	ro	['1101203']	0.5210784367141791	0.2904119501853035	0.23066648652887556	0.514519437123358	-0.16709919137652296
1101302	ro	['1101302']	0.5916962117980651	0.29405055218683396	0.29764565961123113	0.5360654203593387	-0.10635265952501394
1101401	ro	['1101401']	0.45939449319899683	0.279174675316889	0.18021981788210784	0.47921830940863464	-0.1905889612438516
1101435	ro	['1101435']	0.4638984007600797	0.36824195094494583	0.09565644981513388	0.25994580414641033	-0.2418350700037064
1101450	ro	['1101450']	0.46444717051716244	0.028490409717199405	0.43595676079996304	0.5898465478115402	-0.04398913693960527
1101468	ro	['1101468']	0.48793455078165804	0.2510478445738633	0.23688670620779473	0.56217912907899	-0.2623675929062643
1101476	ro	['1101476']	0.4936339452711078	0.21055016587717112	0.2830837793939367	0.5067916667021912	-0.16147864690311475
1101484	ro	['1101484']	0.4524443819710098	0.2998229310196989	0.15262145095131086	0.3711280744846285	-0.28429640976677917
