Cod2000,Cod2010,Gini_RD,Gini_RP,RendaMedia
1100015,['1100015'],0.5747052673292616,0.536550354190299,467.13
1100023,['1100023'],0.5500199539854871,0.529382047010937,668.94
1100031,['1100031'],0.4902652562183999,0.47304170320501093,446.54
1100049,['1100049'],0.5838526956575227,0.5703468582886511,717.61
1100056,['1100056'],0.5095121136072205,0.5092641900806563,550.77
1100064,['1100064'],0.5052430216390797,0.47401314240774295,506.31
1100072,['1100072'],0.4785455653526721,0.4670964140213353,396.06
1100080,['1100080'],0.4836016737879123,0.4719961844242824,349.84
1100098,['1100098'],0.5287902794248912,0.5115385033667799,570.51
1100106,['1100106'],0.5425340682351216,0.5129093038486333,461.99
1100114,['1100114'],0.49632328191024333,0.4926633236479677,554.84
1100122,['1100122'],0.5412512598644663,0.5303120813687143,706.03
1100130,['1100130'],0.5422099545430739,0.4893034234476227,393.67
1100148,['1100148'],0.5725593889359732,0.5717949859218395,483.1
1100155,['1100155'],0.49786339968603033,0.4840841501874298,560.0
1100189,['1100189'],0.5521142125587487,0.54645711599417,716.84
1100205,['1100205'],0.5804421448826491,0.5549923525085453,872.14
1100254,['1100254'],0.5227561942746377,0.5088517004197766,516.52
1100262,['1100262'],0.5543267034686148,0.5078140903882556,418.5
1100288,['1100288'],0.5292089060024017,0.5267337733440933,628.81
1100296,['1100296'],0.4854675337944201,0.4830160389498316,470.11
1100304,['1100304'],0.5126536604689085,0.5172917397092991,753.97
1100320,['1100320'],0.6076236904019308,0.565125554687214,430.54
1100338,['1100338'],0.515660577233771,0.4798413171757001,365.89
1100346,['1100346'],0.5329499821278314,0.5264295080730413,461.88
1100379,['1100379'],0.523170753368332,0.4914117317556058,332.61
1100403,['1100403'],0.5197422270369231,0.5323360714469377,493.93
1100452,['1100452'],0.48082125442257206,0.47673270388695443,441.6
1100502,['1100502'],0.5038706976895884,0.4409887292516623,331.54
1100601,['1100601'],0.5236954669463527,0.5340018987304871,496.42
1100700,['1100700'],0.6590376632934871,0.6253629742259194,503.79
1100809,['1100809'],0.5315812347426488,0.4919249844120843,503.02
1100908,['1100908'],0.48243830366290974,0.4619821749526386,453.78
1100924,['1100924'],0.4752070808837707,0.43190786963736993,471.52
1100940,['1100940'],0.5139108535232562,0.5105137411294126,489.72
1101005,['1101005'],0.5342033801173209,0.5258437831178688,385.92
1101104,['1101104'],0.45732129240466957,0.48109000236838206,409.64
1101203,['1101203'],0.5312048144845034,0.5210784367141791,433.38
1101302,['1101302'],0.6011572859296361,0.5916962117980651,514.5
1101401,['1101401'],0.45932902292466626,0.45939449319899683,435.24
1101435,['1101435'],0.4443445658802687,0.4638984007600797,350.09
1101450,['1101450'],0.5432644148363646,0.46444717051716244,353.78
1101468,['1101468'],0.49190012126964,0.48793455078165804,484.0
1101476,['1101476'],0.4921568057631981,0.4936339452711078,438.35
1101484,['1101484'],0.4508743482505452,0.4524443819710098,366.55
1101492,['1101492'],0.5406534242490455,0.5283373861660641,458.3
1101500,['1101500'],0.6331523778320172,0.6087010269892881,433.5
