,COD,UF,Gini_RD,Gini_RP,RendaMedia
0,12,ac,0.61333564000894,0.5687837496501584,495.15
1,27,al,0.6087021287482397,0.5798686473761043,418.23
2,13,am,0.6355142172825827,0.5982265001655842,505.54
3,16,ap,0.5924456754444596,0.5766310479672159,572.73
4,29,ba,0.6070667354229975,0.5798047578166323,478.93
5,23,ce,0.5995675598961676,0.5729963211351632,443.81
6,53,df,0.6184932729306758,0.6336229284271495,1648.9
7,32,es,0.563239748561555,0.5565800402960733,790.79
8,52,go,0.5602842115767301,0.5472575147958552,780.98
9,21,ma,0.6070501404543303,0.5721002137394608,347.73
10,31,mg,0.5564676819228016,0.5440927192399239,729.04
11,50,ms,0.5604612590425759,0.552873688322336,778.38
12,51,mt,0.5635778612592949,0.5409835290482248,730.46
13,15,pa,0.603215933745922,0.5741512309235262,427.37
14,25,pb,0.5981703952396844,0.575201578002734,460.0
15,26,pe,0.6194722814819871,0.5883402813898612,506.15
16,22,pi,0.6040601824242011,0.5763654447515385,406.76
17,41,pr,0.5384025905166955,0.5376688742241222,865.8
18,33,rj,0.5955092322690068,0.5789548732083256,987.82
19,24,rn,0.5931131621791701,0.5736064700372725,529.33
20,11,ro,0.5669451984021424,0.5457671658906768,643.07
21,14,rr,0.6157644287408268,0.5793081720977228,574.54
22,43,rs,0.5399681068923109,0.5367567076919723,934.16
23,42,sc,0.4918250590078721,0.49672828287920734,962.39
24,28,se,0.6110228008761732,0.59256524837105,505.48
25,35,sp,0.5211226502118382,0.5154877934618071,902.16
26,35,sp,0.6052323702816769,0.58356387911142,1167.93
27,17,to,0.5948798183488408,0.5743598491039053,568.63
