COD2000,UF,COD2010,GINI(G),PARCELA(CH),P_TOTAL,CH_1SAL,P_1SAL,CH_NSAL,P_NSAL,MBEN_TOT,MBEN_1SAL,MBEN_NSAL
1100015,RO,['1100015'],0.536550354190299,0.25381853271835875,0.2827318214719402,0.01798567798058137,0.5185646762097176,0.6917287732383219,-0.155178419048023,0.14161634886069277,0.09204584036207607,0.049570508498616724
1100023,RO,['1100023'],0.529382047010937,0.1968336101618744,0.33254843684906266,-0.2583406811362492,0.7877227281471862,0.6736996412846616,-0.1443175942737246,0.07891865882493297,0.04037768185568232,0.038540976969250657
1100031,RO,['1100031'],0.47304170320501093,0.26835670818108437,0.20468499502392656,-0.007251525059601027,0.48029322826461196,0.6929486015773525,-0.21990689837234156,0.18300976468049832,0.11097464787518842,0.07203511680530988
1100049,RO,['1100049'],0.5703468582886511,0.28544002963147386,0.2849068286571772,-0.22702804936935106,0.7973749076580021,0.7057372865376836,-0.13539042824903258,0.10898904224601551,0.04910966748597187,0.059879374760043645
1100056,RO,['1100056'],0.5092641900806563,0.2833682326047414,0.22589595747591484,-0.06974583067441387,0.5790100207550701,0.7356906712139407,-0.22642648113328445,0.1496660040052178,0.08405043941988881,0.06561556458532898
1100064,RO,['1100064'],0.47401314240774295,0.1702331258226477,0.30378001658509524,-0.11475450145757127,0.5887676438653142,0.6827039340956755,-0.2086907916879326,0.17352246024723644,0.11151075904631019,0.06201170120092624
1100072,RO,['1100072'],0.4670964140213353,0.3100995104282107,0.15699690359312457,0.03300471431716723,0.43409169970416805,0.7632831796522022,-0.2961867656308669,0.18697996205026723,0.1160328139135634,0.07094714813670382
1100080,RO,['1100080'],0.4719961844242824,0.4008437220044564,0.07115246241982598,0.16344797450609128,0.3085482099181911,0.753828319118247,-0.2818321346939646,0.12520984488993206,0.07486215802490466,0.05034768686502739
1100098,RO,['1100098'],0.5115385033667799,0.24255017579390226,0.2689883275728776,-0.08809867779084635,0.5996371811576262,0.7110608338939206,-0.19952233052714075,0.11233167143162999,0.06585491949780815,0.04647675193382183
1100106,RO,['1100106'],0.5129093038486333,0.5056377850815799,0.007271518767053453,-0.09632364198588039,0.6092329458345137,0.7686026689206518,-0.25569336507201845,0.15877939056488666,0.04827394365211549,0.11050544691277119
1100114,RO,['1100114'],0.4926633236479677,0.19299666510967817,0.29966665853828955,-0.1921256708662349,0.6847889945142026,0.6635329492965233,-0.17086962564855557,0.13158578447396305,0.07236050057721892,0.059225283896744106
1100122,RO,['1100122'],0.5303120813687143,0.25933245420758155,0.2709796271611328,-0.317958627094431,0.8482707084631453,0.7161438656753636,-0.18583178430664926,0.10199418228673314,0.045055598161367984,0.05693858412536516
1100130,RO,['1100130'],0.4893034234476227,0.3091224207512371,0.1801810026963856,0.035122255400271696,0.454181168047351,0.682823730769561,-0.19352030732193837,0.1466279482948568,0.08459924586684857,0.06202870242800825
1100148,RO,['1100148'],0.5717949859218395,0.33028889533909034,0.2415060905827492,0.1443974202955336,0.42739756562630593,0.6839206129007105,-0.11212562697887096,0.12514064267142375,0.08202372207758894,0.04311692059383479
1100155,RO,['1100155'],0.4840841501874298,0.24519350863894362,0.23889064154848616,-0.16056957071886124,0.644653720906291,0.6950780061314303,-0.21099385594400055,0.15708295137675343,0.08259146236924607,0.07449148900750735
1100189,RO,['1100189'],0.54645711599417,0.5641409939118176,-0.017683877917647584,-0.24942369567227773,0.7958808116664478,0.8991556368334964,-0.3526985208393264,0.14696787981016052,0.04286721028502364,0.10410066952513687
