,UF,COD,Gini_RD,Gini_RP,RendaMedia,RendaMedia2010
81,AL,2701803,0.4374668274153526,0.43416511341276276,60.09,119.7
82,AL,2703700,0.4268450172123366,0.391265465127405,63.4,126.29
83,AL,2707800,0.5508424053209394,0.43833531812813353,65.13,129.74
84,AL,2704708,0.5861740056468097,0.5243962935150208,110.14,219.39
85,AL,2700706,0.6437053159427313,0.61168465693909,123.39,245.78
86,AL,2700607,0.4929053639285458,0.4443849305037555,109.25,217.61
87,AL,2706208,0.4980263539679294,0.4091321592399584,55.64,110.83
88,AL,2704401,0.5339983016213683,0.4198127603698113,61.33,122.17
89,AL,2706604,0.5200413564206946,0.388601738576698,61.49,122.49
90,AL,2701308,0.47973639807929636,0.3530979502500037,62.38,124.25
91,AL,2706802,0.5364284669776452,0.48388996601122924,81.89,163.11
92,AL,2707701,0.5195099873526783,0.45439231241731526,112.18,223.45
93,AL,2709103,0.5847993375021128,0.4568702902061783,62.7,124.9
94,AL,2702702,0.38695249003638643,0.3317773644547052,61.64,122.77
95,AL,2704500,0.5417143669388578,0.45035055424465076,72.31,144.04
96,AL,2701357,0.5008449900182823,0.39430801609124677,75.56,150.52
97,AL,2704104,0.47354620936160086,0.41456206869851386,61.1,121.7
98,AL,2706505,0.5950898523423322,0.48933695216070006,69.16,137.76
99,AL,2700201,0.5392696108727233,0.46219936582963683,85.6,170.5
100,AL,2704609,0.6049184045223016,0.39018383795557265,47.01,93.64
101,AL,2701506,0.6399170159723039,0.4748836449520416,57.41,114.35
102,AL,2707305,0.5384550299897197,0.42028017069196844,67.8,135.05
103,AL,2702801,0.4984497686828949,0.3731150192053704,64.45,128.38
104,AL,2705705,0.6014392350345937,0.5254764682498776,91.72,182.7
105,AL,2707206,0.5787603587287913,0.4172308186281034,35.37,70.45
106,AL,2704807,0.634299650914683,0.581838810994614,101.6,202.39
107,AL,2705002,0.6350342404084194,0.500682751084386,60.91,121.33
108,AL,2704203,0.544215241080631,0.44890208325949543,63.18,125.85
109,AL,2705804,0.5803517786433775,0.38249309344504634,45.6,90.83
110,AL,2700300,0.5743054569482972,0.5455787768262748,128.71,256.38
111,AL,2706000,0.5895089198164556,0.3899679746867165,41.48,82.62
112,AL,2709152,0.6174310920667836,0.5392726815438049,82.55,164.42
113,AL,2706406,0.6720539911744708,0.5913934665849743,85.49,170.29
114,AL,2703205,0.5535916944268174,0.396861729127857,57.05,113.64
115,AL,2705200,0.5303355524254061,0.3892593894190607,71.5,142.43
116,AL,2705309,0.46924979926733057,0.4267201397269942,62.5,124.5
117,AL,2708303,0.5649041901019871,0.4834989616739236,85.08,169.48
118,AL,2708709,0.5754713249635809,0.4960226912091992,79.66,158.68
119,AL,2700102,0.5941937266125483,0.4910844906995909,70.59,140.62
120,AL,2707503,0.6362678572505341,0.4526627653214592,59.74,119.01
121,AL,2703403,0.6766215542502676,0.6362882431724645,112.87,224.82
122,AL,2703007,0.5329144059297541,0.4460271136185694,72.58,144.57
123,AM,1301951,0.6405225241521114,0.5158419921343308,49.45,98.5
124,AM,1300086,0.6824606749948043,0.5870616656791061,99.03,197.26
125,AM,1302702,0.5921639992338226,0.48268457414628485,69.76,138.95
126,AM,1304005,0.5626432234056524,0.45692818336311414,73.2,145.8
127,AM,1303205,0.5701333080168427,0.5129868301548767,94.03,187.3
128,AM,1300631,0.6165488402806776,0.5151589700713552,68.7,136.85
129,AM,1302504,0.563150824993397,0.5114463376923924,101.01,201.21
130,AM,1302207,0.7139884758216013,0.6061759832290473,81.03,161.4
131,AM,1303957,0.49543323263917216,0.4485054550339813,72.1,143.62
132,AM,1300102,0.5625918377609194,0.5186718252541659,91.65,182.56
133,AM,1303569,0.6161274862142654,0.49486923071432665,106.93,212.99
134,AM,1302108,0.5677263508082837,0.395372495083232,52.94,105.45
135,AM,1300839,0.5065528684660132,0.4613112701826555,79.52,158.4
136,AM,1303403,0.5865590637172258,0.5244778741504671,91.3,181.85
137,AM,1302900,0.635801946421146,0.5636868773957056,96.0,191.23
138,AM,1300201,0.7205414911108903,0.5461178489728364,76.22,151.83
139,AM,1300805,0.619259103557671,0.48199529139223507,60.37,120.24
140,AM,1303007,0.5385985176529419,0.4497405523086845,68.92,137.29
141,AM,1300060,0.6393742225799295,0.4298627272278013,57.92,115.36
142,AM,1303809,0.7464013274829598,0.5676037281625148,105.14,209.42
143,AM,1300300,0.61264738714361,0.5403717271173398,87.67,174.63
144,AM,1304237,0.5307874314334644,0.45271200019062996,57.34,114.22
145,AM,1300409,0.6098573334649637,0.3924055955591822,68.51,136.47
146,AM,1302801,0.5665433701120094,0.4170913752219797,57.26,114.06
147,AM,1302009,0.551272173052649,0.4457904915735379,74.07,147.54
148,AM,1303700,0.6355472693311939,0.4713259882928026,46.12,91.87
149,AM,1304401,0.5885910630830776,0.4885990165604497,63.85,127.18
150,AM,1302603,0.6222265344873892,0.5891122773738613,260.92,519.72
151,AM,1304104,0.6217345132246483,0.4571972477428662,46.89,93.4
152,AM,1303908,0.6789552513055269,0.5037015656008453,50.17,99.94
153,AM,1304260,0.5123591994309031,0.4486717568334083,76.15,151.69
154,AM,1304302,0.7456448304711952,0.7271806569733569,143.68,286.2
155,AM,1301100,0.6079802136560246,0.4822000681343268,71.63,142.69
156,AM,1301704,0.660325710695618,0.5980630779376161,133.93,266.78
157,AM,1301803,0.6228189522383354,0.45864101928868906,38.97,77.62
158,AM,1301605,0.6201584568889025,0.4402429736943023,43.9,87.44
159,AM,1301308,0.5880292617370411,0.5163020080271956,69.76,138.96
160,AM,1303304,0.6264881960632445,0.5315435055590535,70.01,139.45
161,AM,1303601,0.7136610745790983,0.44772658610337734,52.96,105.5
162,AM,1300508,0.5690542422211042,0.43117371687184214,61.47,122.44
163,AM,1300706,0.5915719953116444,0.525244575503641,92.63,184.51
