	Cod	UF	Gini_RD	Gini_RP	RendaMedia	RendaMedia2010
0	12	ac	0.6231644105282327	0.6470719082448054	180.126230555748	358.79410511104754
1	27	al	0.6615597975100662	0.6857742153746273	139.233566823589	277.3398569201042
2	13	am	0.6469913343041553	0.6816757708620024	172.848991235573	344.29854518340545
3	16	ap	0.6123843387484253	0.6315637706860853	209.863495373717	418.02787292983976
4	29	ba	0.6437576766679608	0.663560578125488	159.292442764852	317.29520612534697
5	23	ce	0.6536499531772689	0.6708954266423022	155.182013080192	309.1076260278829
6	53	df	0.6226201634740942	0.6371757094536742	596.343036034282	1187.8578999459196
7	32	es	0.5947802085605607	0.6077581911072527	288.044214399091	573.7563364251426
8	52	go	0.6162810623053372	0.6135490763307196	285.588967217791	568.8657204802967
9	21	ma	0.6390394972760932	0.6546685617805752	109.792188465437	218.69546643540127
10	31	mg	0.6035821366325935	0.616040240168075	274.929613415948	547.6333142027964
11	50	ms	0.6220361359051025	0.6280911582707578	286.18577292628	570.0544999792169
12	51	mt	0.6280357651489596	0.6315591258243249	286.869355871537	571.4161313771313
13	15	pa	0.6310868487892327	0.6499716377235495	167.55945679349	333.7623019569429
14	25	pb	0.6285543223402801	0.6422176690516946	149.571181384396	297.9313896129495
15	26	pe	0.6525158579217935	0.6698229308021166	182.79887170324	364.11774890150906
16	22	pi	0.6425809344438296	0.6546979639548288	127.938162072563	254.84049840353794
17	41	pr	0.5975476084674534	0.6077043645035192	319.207256799783	635.830115886338
18	33	rj	0.5963407126692831	0.6144667435952318	411.093466731375	818.8585974280527
19	24	rn1	0.6392291020760548	0.6539055356848595	175.275578036096	349.1320724097384
20	11	ro	0.602534737206159	0.6117912410218785	232.997420453521	464.10842389182415
21	14	rr	0.6035918884881983	0.6232104003486445	229.520836415911	457.1834032839479
22	43	rs	0.5775344300015066	0.5873826067097345	355.614177140961	708.3491952195357
23	42	sc	0.5539338527901605	0.5623345236405515	346.934303181066	691.0597221632872
24	28	se	0.6396298479630151	0.6542793886576376	162.506500747503	323.69730011300396
25	35	sp	0.583354112485386	0.5934015441481189	439.047459187103	874.5402584303895
26	17	to	0.6410791375855094	0.6551676985191859	171.482690729739	341.57700615052283
