Cod2000	Cod2010	Gini_RD	Gini_RP	RendaMedia	RendaMedia2010
1100015	['1100015']	0.5742719404234767	0.5889779931986687	467.130574794805	467.130574794805
1100023	['1100023']	0.5495295443917501	0.5512678474389703	668.938453290484	668.938453290484
1100031	['1100031']	0.4929412204870489	0.5161532552690928	446.537339397445	446.537339397445
1100049	['1100049']	0.5820372863903657	0.589179325501265	717.611455698549	717.611455698549
1100056	['1100056']	0.5089137799690024	0.5159146478005938	550.770557211999	550.770557211999
1100064	['1100064']	0.5062618399575982	0.5167626462401878	506.306290272668	506.306290272668
1100072	['1100072']	0.47911446065725893	0.49291139442943954	396.060467417094	396.060467417094
1100080	['1100080']	0.4851057301195172	0.5277194418258828	349.842953469104	349.842953469104
1100098	['1100098']	0.528639828117422	0.5408545772756608	570.507740032275	570.507740032275
1100106	['1100106']	0.5429160141618248	0.5734095030618234	461.994136183924	461.994136183924
1100114	['1100114']	0.496454444417031	0.508231192328718	554.840744086018	554.840744086018
1100122	['1100122']	0.540961425910111	0.5469478780722143	706.033403568368	706.033403568368
1100130	['1100130']	0.5416667788458125	0.5611866302911299	393.671204791826	393.671204791826
1100148	['1100148']	0.5744719938520487	0.570863419867085	483.100134566659	483.100134566659
1100155	['1100155']	0.4976728787978384	0.496651293114153	559.999145167486	559.999145167486
1100189	['1100189']	0.5513382084242768	0.5518592841458226	716.844374783864	716.844374783864
1100205	['1100205']	0.5803175110503247	0.5791849369547499	872.142244102456	872.142244102456
1100254	['1100254']	0.5238048810277138	0.5284063042691833	516.51712398024	516.51712398024
1100262	['1100262']	0.5488012570519398	0.578837130192764	418.495634849389	418.495634849389
1100288	['1100288']	0.5301006457939845	0.5421156678020638	628.805611643431	628.805611643431
1100296	['1100296']	0.4855381680016252	0.4980379610133592	470.105668004523	470.105668004523
1100304	['1100304']	0.5131822594244732	0.511704129427459	753.96590837248	753.96590837248
1100320	['1100320']	0.6066169164540463	0.6310872825605955	430.541498187591	430.541498187591
1100338	['1100338']	0.5154384273730139	0.536058280326217	365.889445505434	365.889445505434
1100346	['1100346']	0.5328009414944269	0.5360030065652814	461.879147062613	461.879147062613
1100379	['1100379']	0.522554402119844	0.5477731204424454	332.605679905939	332.605679905939
1100403	['1100403']	0.5201510544676682	0.5411401324791478	493.932740936462	493.932740936462
1100452	['1100452']	0.48105039452897647	0.5016381631501607	441.59521778716	441.59521778716
1100502	['1100502']	0.5022048050238878	0.5202429166586149	331.539914892047	331.539914892047
1100601	['1100601']	0.525372506567704	0.5572543120517641	496.420406532208	496.420406532208
1100700	['1100700']	0.6577572255071507	0.6703745681148923	503.787966774304	503.787966774304
1100809	['1100809']	0.5279629701135953	0.5249249741424935	503.021494941605	503.021494941605
1100908	['1100908']	0.4824132265675656	0.49954439105963244	453.779860392498	453.779860392498
1100924	['1100924']	0.473255131812804	0.48015708942587	471.520443049416	471.520443049416
1100940	['1100940']	0.5156990619599348	0.528650192062238	489.716975715021	489.716975715021
1101005	['1101005']	0.5345715417530503	0.5563056782250706	385.918096434971	385.918096434971
1101104	['1101104']	0.4554119191742513	0.4833374729933396	409.636316393603	409.636316393603
1101203	['1101203']	0.5323058767095081	0.5588185305197635	433.382697977841	433.382697977841
1101302	['1101302']	0.5988202894789731	0.6102329472708934	514.503765484552	514.503765484552
1101401	['1101401']	0.4596273747514039	0.4807705609589754	435.238955374915	435.238955374915
1101435	['1101435']	0.4439051660332981	0.46610888846973997	350.093070628439	350.093070628439
1101450	['1101450']	0.5397563662976312	0.5568448014732549	353.783442216028	353.783442216028
1101468	['1101468']	0.4953005840038165	0.49593643174671964	483.999096314064	483.999096314064
1101476	['1101476']	0.49086096023366543	0.5188729842347176	438.354195779402	438.354195779402
1101484	['1101484']	0.4461301880028471	0.46990684017111306	366.546320397814	366.546320397814
1101492	['1101492']	0.5406786391288421	0.5680308877377724	458.297307695024	458.297307695024
1101500	['1101500']	0.6323145317783415	0.637804543027171	433.502362051647	433.502362051647
1101559	['1101559']	0.42519191192553674	0.4337229323426912	458.420449872488	458.420449872488
1101609	['1101609']	0.5522345674911784	0.5851504490551296	369.298701688474	369.298701688474
1101708	['1101708']	0.4956513610217136	0.517118428982184	372.461346335688	372.461346335688
1101757	['1101757']	0.5473582967173527	0.5725751720824154	391.005437142587	391.005437142587
1101807	['1101807']	0.5710902101914335	0.5874672422336653	421.509463934899	421.509463934899
1200013	['1200013']	0.5124642503267753	0.546280685341929	294.030243122628	294.030243122628
1200054	['1200054']	0.583581586907101	0.6253576484001352	280.103337536157	280.103337536157
1200104	['1200104']	0.5695278489579488	0.5926573891251059	331.853698089576	331.853698089576
1200138	['1200138']	0.5399002023299957	0.5826432682531594	329.264579156431	329.264579156431
1200179	['1200179']	0.5331129809877775	0.5627329742672724	332.56173701523	332.56173701523
1200203	['1200203']	0.6115187170789126	0.6445373205055245	433.338488734889	433.338488734889
1200252	['1200252']	0.5917124493975677	0.6082452231829634	455.141740862702	455.141740862702
1200302	['1200302']	0.6359395515341776	0.6763012308646488	243.021162103	243.021162103
1200328	['1200328']	0.6642247802260919	0.7099579308455466	174.095575294479	174.095575294479
1200336	['1200336']	0.59471721186403	0.6108414875267077	292.584092700362	292.584092700362
1200344	['1200344']	0.5431544302887672	0.5951614585544398	304.260713014755	304.260713014755
1200351	['1200351']	0.5702417777563641	0.5957038012896738	156.149731795472	156.149731795472
1200385	['1200385']	0.5345029961211072	0.5751886581763587	307.33077347528	307.33077347528
1200393	['1200393']	0.5766682787063255	0.6133199799985272	204.713168738122	204.713168738122
1200401	['1200401']	0.6056143761414253	0.6136153499803163	698.891694734533	698.891694734533
1200427	['1200427']	0.6065292689623067	0.6468781198410228	180.005392139482	180.005392139482
1200435	['1200435']	0.6682029175003402	0.775699826366434	201.595500384948	201.595500384948
1200450	['1200450']	0.5447297203012607	0.5589206818102552	448.867946938538	448.867946938538
1200500	['1200500']	0.5373064741605944	0.549984472650245	315.119063263916	315.119063263916
1200609	['1200609']	0.6028710761249447	0.6481368266534837	248.050190420026	248.050190420026
1200708	['1200708']	0.5385927878191719	0.589815799077953	370.917521538489	370.917521538489
