	Cod	UF	Gini_RD	Gini_RP	RendaMedia	RendaMedia2010
0	12	ac	0.6132868271827373	0.6401589283680084	495.148399765492	495.148399765492
1	27	al	0.608914052010437	0.6339707065268719	418.230973305219	418.230973305219
2	13	am	0.6355441744743264	0.6667749704600598	505.539868050675	505.539868050675
3	16	ap	0.5922764303694785	0.6163595512697888	572.726149023897	572.726149023897
4	29	ba	0.6070718125871586	0.6270850849516852	478.932428732046	478.932428732046
5	23	ce	0.5994788564181371	0.6176206246605844	443.807565631917	443.807565631917
6	53	df	0.6184934357339432	0.6363692407712114	1648.89529983201	1648.89529983201
7	32	es	0.5633318765988191	0.5734055809347157	790.790796099451	790.790796099451
8	52	go	0.5603373787248405	0.5600839066292651	780.984564514898	780.984564514898
9	21	ma	0.6070205709950236	0.628088415573946	347.72834522501	347.72834522501
10	31	mg	0.556454754862225	0.5644289255154358	729.039031019455	729.039031019455
11	50	ms	0.5604223705615531	0.5679635273481274	778.375052103439	778.375052103439
12	51	mt	0.56350062732669	0.5672642025009091	730.462070713933	730.462070713933
13	15	pa	0.603292626806299	0.6257456817970095	427.368188721147	427.368188721147
14	25	pb	0.5982302426448767	0.6129379708406038	460.002132722279	460.002132722279
15	26	pe	0.6195145369389604	0.6365409267189259	506.149692219504	506.149692219504
16	22	pi	0.6041160464792401	0.6176086085972953	406.757422642156	406.757422642156
17	41	pr	0.5383801857222859	0.5430472323096099	865.803259194758	865.803259194758
18	33	rj	0.5955121676110756	0.6119455641957305	987.816989484257	987.816989484257
19	24	rn	0.5932382710776127	0.6066733509181077	529.334804665981	529.334804665981
20	11	ro	0.5666989852066737	0.5716277070989276	643.069164872731	643.069164872731
21	14	rr	0.6159812226960417	0.6406057537475158	574.538191031643	574.538191031643
22	43	rs	0.5400187274746304	0.5491159901968528	934.156456941004	934.156456941004
23	42	sc	0.4918642637540631	0.49592540919822736	962.394530368037	962.394530368037
24	28	se	0.6109139814435869	0.6274112354613842	505.478584682533	505.478584682533
25	35	sp1	0.5211798843647296	0.5251013353407725	902.164291234524	902.164291234524
26	35	sp2_rm	0.6052202769193775	0.6207462521081444	1167.93030952653	1167.93030952653
27	17	to	0.5946965475485237	0.6101321019349961	568.626073186327	568.626073186327
